,alpha,value
0,0.001,0.0026897094943532005
0,0.011,0.02948883262358858
0,0.020999999999999998,0.05611106164565558
0,0.030999999999999996,0.08255814488753158
0,0.040999999999999995,0.10883180769898133
0,0.05099999999999999,0.1349337528288997
0,0.06099999999999999,0.160865660794278
0,0.071,0.18662919024196725
0,0.08099999999999999,0.2122259783033971
0,0.09099999999999998,0.23765764094241262
0,0.10099999999999998,0.2629257732963842
0,0.11099999999999999,0.28803195001074045
0,0.12099999999999998,0.31297772556707293
0,0.13099999999999998,0.33776463460495554
0,0.141,0.3623941922376193
0,0.15099999999999997,0.3868678943616184
0,0.16099999999999998,0.41118721796062097
0,0.17099999999999999,0.43535362140345324
0,0.18099999999999997,0.45936854473652555
0,0.19099999999999998,0.48323340997076153
0,0.20099999999999996,0.5069496213631502
0,0.21099999999999997,0.5305185656930419
0,0.22099999999999997,0.5539416125332961
0,0.23099999999999996,0.5772201145163991
0,0.24099999999999996,0.6003554075956558
0,0.25099999999999995,0.6233488113015622
0,0.26099999999999995,0.6462016289934646
0,0.27099999999999996,0.6689151481066034
0,0.28099999999999997,0.6914906403946407
0,0.291,0.7139293621677697
0,0.30099999999999993,0.7362325545264957
0,0.31099999999999994,0.7584014435911853
0,0.32099999999999995,0.7804372407274671
0,0.33099999999999996,0.8023411427675757
0,0.34099999999999997,0.8241143322277227
0,0.3509999999999999,0.845757977521576
0,0.36099999999999993,0.8672732331699322
0,0.37099999999999994,0.8886612400066536
0,0.38099999999999995,0.9099231253809584
0,0.39099999999999996,0.9310600033561296
0,0.4009999999999999,0.9520729749047193
0,0.4109999999999999,0.9729631281003224
0,0.42099999999999993,0.9937315383059894
0,0.43099999999999994,1.0143792683593411
0,0.44099999999999995,1.0349073687544628
0,0.45099999999999996,1.055316877820632
0,0.4609999999999999,1.0756088218979551
0,0.4709999999999999,1.0957842155099617
0,0.4809999999999999,1.1158440615332323
0,0.49099999999999994,1.1357893513641069
0,0.5009999999999999,1.1556210650825427
0,0.5109999999999999,1.1753401716131675
0,0.5209999999999999,1.1949476288835938
0,0.5309999999999999,1.2144443839800414
0,0.5409999999999999,1.2338313733003266
0,0.5509999999999999,1.253109522704266
0,0.5609999999999999,1.2722797476615477
0,0.571,1.2913429533971188
0,0.581,1.310300035034137
0,0.5909999999999999,1.3291518777345392
0,0.6009999999999999,1.3478993568372624
0,0.6109999999999999,1.3665433379941754
0,0.6209999999999999,1.3850846773037515
0,0.6309999999999999,1.4035242214425436
0,0.6409999999999999,1.4218628077944842
0,0.6509999999999999,1.4401012645780662
0,0.6609999999999999,1.4582404109714389
0,0.6709999999999999,1.4762810572354634
0,0.6809999999999999,1.4942240048347568
0,0.691,1.5120700465567753
0,0.7009999999999998,1.5298199666289658
0,0.7109999999999999,1.5474745408340238
0,0.7209999999999999,1.5650345366232945
0,0.7309999999999999,1.5825007132283495
0,0.7409999999999999,1.5998738217707758
0,0.7509999999999999,1.6171546053702113
0,0.7609999999999999,1.6343437992506558
0,0.7709999999999999,1.651442130845088
0,0.7809999999999999,1.668450319898429
0,0.7909999999999999,1.6853690785688769
0,0.8009999999999998,1.7021991115276343
0,0.8109999999999998,1.7189411160570764
0,0.8209999999999998,1.7355957821473738
0,0.8309999999999998,1.7521637925916007
0,0.8409999999999999,1.7686458230793634
0,0.8509999999999999,1.7850425422889649
0,0.8609999999999999,1.8013546119781443
0,0.8709999999999999,1.8175826870734035
0,0.8809999999999999,1.8337274157579602
0,0.8909999999999999,1.8497894395583374
0,0.9009999999999999,1.865769393429634
0,0.9109999999999998,1.881667905839472
0,0.9209999999999998,1.8974855988506767
0,0.9309999999999998,1.913223088202675
0,0.9409999999999998,1.9288809833916816
0,0.9509999999999998,1.9444598877496426
0,0.9609999999999999,1.9599603985219964
0,0.9709999999999999,1.975383106944265
0,0.9809999999999999,1.990728598317475
0,0.9909999999999999,2.0059974520824575
