,alpha,value
0,0.7,0.10880672532488209
0,0.71,0.11004917981428641
0,0.72,0.11128355488238587
0,0.73,0.11250972445791904
0,0.74,0.11372753470348651
0,0.75,0.11493679857673368
0,0.76,0.11613728902994522
0,0.77,0.11732873043369267
0,0.78,0.1185107876594961
0,0.79,0.11968305204121137
0,0.8,0.12084502312273417
0,0.81,0.1219960846396536
0,0.8200000000000001,0.12313547249254157
0,0.8300000000000001,0.1242622314143615
0,0.8400000000000001,0.12537515538571745
0,0.8500000000000001,0.1264727042136497
0,0.8600000000000001,0.12755288435579948
0,0.8700000000000001,0.12861307473750042
0,0.8800000000000001,0.12964976547439408
0,0.8900000000000001,0.13065815407686912
0,0.9000000000000001,0.13163149937366514
0,0.9100000000000001,0.1325600447140622
0,0.9200000000000002,0.13342913356748937
0,0.9300000000000002,0.1342157099180648
0,0.9400000000000002,0.13488131904824285
0,0.9500000000000002,0.13535670925643936
0,0.9600000000000002,0.13550333614323376
0,0.9700000000000002,0.13499787545967917
0,0.9800000000000002,0.13287027448536562
0,0.9900000000000002,0.12427011164504068
0,1.0000000000000002,873781298856.8756
