,alpha,value
0,0.0,0.0008442163996101339
0,0.01,0.002729668948296993
0,0.02,0.004603107147821865
0,0.03,0.006464645795063804
0,0.04,0.00831439812814767
0,0.05,0.010152475848229165
0,0.06,0.011978989140629214
0,0.07,0.013794046695315688
0,0.08,0.015597755726728673
0,0.09,0.017390221992943787
0,0.1,0.019171549814168482
0,0.11,0.020941842090560065
0,0.12,0.022701200319357503
0,0.13,0.024449724611312916
0,0.14,0.02618751370640885
0,0.15,0.027914664988843638
0,0.16,0.029631274501265153
0,0.17,0.031337436958229666
0,0.18,0.03303324575886019
0,0.19,0.034718792998673705
0,0.2,0.03639416948054487
0,0.21,0.038059464724766415
0,0.22,0.03971476697816452
0,0.23,0.04136016322221993
0,0.24,0.04299573918014072
0,0.25,0.04462157932282585
0,0.26,0.046237766873649715
0,0.27,0.047844383811991624
0,0.28,0.04944151087542317
0,0.29,0.05102922756045598
0,0.3,0.05260761212174162
0,0.31,0.05417674156959922
0,0.32,0.05573669166573469
0,0.33,0.0572875369169954
0,0.34,0.05882935056698479
0,0.35000000000000003,0.060362204585340896
0,0.36,0.06188616965445558
0,0.37,0.06340131515338132
0,0.38,0.0649077091386436
0,0.39,0.06640541832163245
0,0.4,0.0678945080422077
0,0.41000000000000003,0.06937504223810041
0,0.42,0.07084708340963405
0,0.43,0.07231069257922167
0,0.44,0.07376592924501837
0,0.45,0.07521285132801482
0,0.46,0.0766515151117522
0,0.47000000000000003,0.0780819751737168
0,0.48,0.07950428430732148
0,0.49,0.08091849343321572
0,0.5,0.08232465149845775
0,0.51,0.08372280536184598
0,0.52,0.08511299966342331
0,0.53,0.08649527667582355
0,0.54,0.08786967613472958
0,0.55,0.0892362350452235
0,0.56,0.09059498746022224
0,0.5700000000000001,0.09194596422648607
0,0.58,0.0932891926928244
0,0.59,0.09462469637407518
0,0.6,0.09595249456314883
0,0.61,0.09727260188184453
0,0.62,0.09858502775919123
0,0.63,0.09988977582363189
0,0.64,0.10118684319232885
0,0.65,0.10247621963704627
0,0.66,0.10375788660122852
0,0.67,0.10503181603674341
0,0.68,0.10629796902087164
0,0.6900000000000001,0.10755629410395419
0,0.7,0.10880672532488209
0,0.71,0.11004917981428641
0,0.72,0.11128355488238587
0,0.73,0.11250972445791904
0,0.74,0.11372753470348651
0,0.75,0.11493679857673368
0,0.76,0.11613728902994522
0,0.77,0.11732873043369267
0,0.78,0.1185107876594961
0,0.79,0.11968305204121137
0,0.8,0.12084502312273417
0,0.81,0.1219960846396536
0,0.8200000000000001,0.12313547249254157
0,0.8300000000000001,0.1242622314143615
0,0.8400000000000001,0.12537515538571745
0,0.8500000000000001,0.1264727042136497
0,0.8600000000000001,0.12755288435579948
0,0.8700000000000001,0.12861307473750042
0,0.8800000000000001,0.12964976547439408
0,0.8900000000000001,0.13065815407686912
0,0.9000000000000001,0.13163149937366514
0,0.9100000000000001,0.1325600447140622
0,0.9200000000000002,0.13342913356748937
0,0.9300000000000002,0.1342157099180648
0,0.9400000000000002,0.13488131904824285
0,0.9500000000000002,0.13535670925643936
0,0.9600000000000002,0.13550333614323376
0,0.9700000000000002,0.13499787545967917
0,0.9800000000000002,0.13287027448536562
0,0.9900000000000002,0.12427011164504068
